Date,Last Price
25/01/2019,17.42
24/01/2019,18.89
23/01/2019,19.52
22/01/2019,20.8
18/01/2019,17.8
17/01/2019,18.06
16/01/2019,19.04
15/01/2019,18.6
14/01/2019,19.07
11/01/2019,18.19
10/01/2019,19.5
09/01/2019,19.98
08/01/2019,20.47
07/01/2019,21.4
04/01/2019,21.38
03/01/2019,25.45
02/01/2019,23.22
31/12/2018,25.42
28/12/2018,28.34
27/12/2018,29.96
26/12/2018,30.41
24/12/2018,36.07
21/12/2018,30.11
20/12/2018,28.38
19/12/2018,25.58
18/12/2018,25.58
17/12/2018,24.52
14/12/2018,21.63
13/12/2018,20.65
12/12/2018,21.46
11/12/2018,21.76
10/12/2018,22.64
07/12/2018,23.23
06/12/2018,21.19
04/12/2018,20.74
03/12/2018,16.44
30/11/2018,18.07
29/11/2018,18.79
28/11/2018,18.49
27/11/2018,19.02
26/11/2018,18.9
23/11/2018,21.52
21/11/2018,20.8
20/11/2018,22.48
19/11/2018,20.1
16/11/2018,18.14
15/11/2018,19.98
14/11/2018,21.25
13/11/2018,20.02
12/11/2018,20.45
09/11/2018,17.36
08/11/2018,16.72
07/11/2018,16.36
06/11/2018,19.91
05/11/2018,19.96
02/11/2018,19.51
01/11/2018,19.34
31/10/2018,21.23
30/10/2018,23.35
29/10/2018,24.7
26/10/2018,24.16
25/10/2018,24.22
24/10/2018,25.23
23/10/2018,20.71
22/10/2018,19.64
19/10/2018,19.89
18/10/2018,20.06
17/10/2018,17.4
16/10/2018,17.62
15/10/2018,21.3
12/10/2018,21.31
11/10/2018,24.98
10/10/2018,22.96
09/10/2018,15.95
08/10/2018,15.69
05/10/2018,14.82
04/10/2018,14.22
03/10/2018,11.61
02/10/2018,12.05
01/10/2018,12
28/09/2018,12.12
27/09/2018,12.41
26/09/2018,12.89
25/09/2018,12.42
24/09/2018,12.2
21/09/2018,11.68
20/09/2018,11.8
19/09/2018,11.75
18/09/2018,12.79
17/09/2018,13.68
14/09/2018,12.07
13/09/2018,12.37
12/09/2018,13.14
11/09/2018,13.22
10/09/2018,14.16
07/09/2018,14.88
06/09/2018,14.65
05/09/2018,13.91
04/09/2018,13.16
31/08/2018,12.86
30/08/2018,13.53
29/08/2018,12.25
28/08/2018,12.5
27/08/2018,12.16
24/08/2018,11.99
23/08/2018,12.41
22/08/2018,12.25
21/08/2018,12.86
20/08/2018,12.49
17/08/2018,12.64
16/08/2018,13.45
15/08/2018,14.64
14/08/2018,13.31
13/08/2018,14.78
10/08/2018,13.16
09/08/2018,11.27
08/08/2018,10.85
07/08/2018,10.93
06/08/2018,11.27
03/08/2018,11.64
02/08/2018,12.19
01/08/2018,13.15
31/07/2018,12.83
30/07/2018,14.26
27/07/2018,13.03
26/07/2018,12.14
25/07/2018,12.29
24/07/2018,12.41
23/07/2018,12.62
20/07/2018,12.86
19/07/2018,12.87
18/07/2018,12.1
17/07/2018,12.06
16/07/2018,12.83
13/07/2018,12.18
12/07/2018,12.58
11/07/2018,13.63
10/07/2018,12.64
09/07/2018,12.69
06/07/2018,13.37
05/07/2018,14.97
03/07/2018,16.14
02/07/2018,15.6
29/06/2018,16.09
28/06/2018,16.85
27/06/2018,17.91
26/06/2018,15.92
25/06/2018,17.33
22/06/2018,13.77
21/06/2018,14.64
20/06/2018,12.79
19/06/2018,13.35
18/06/2018,12.31
15/06/2018,11.98
14/06/2018,12.12
13/06/2018,12.94
12/06/2018,12.34
11/06/2018,12.35
08/06/2018,12.18
07/06/2018,12.13
06/06/2018,11.64
05/06/2018,12.4
04/06/2018,12.74
01/06/2018,13.46
31/05/2018,15.43
30/05/2018,14.94
29/05/2018,17.02
25/05/2018,13.22
24/05/2018,12.53
23/05/2018,12.58
22/05/2018,13.22
21/05/2018,13.08
18/05/2018,13.42
17/05/2018,13.43
16/05/2018,13.42
15/05/2018,14.63
14/05/2018,12.93
11/05/2018,12.65
10/05/2018,13.23
09/05/2018,13.42
08/05/2018,14.71
07/05/2018,14.75
04/05/2018,14.77
03/05/2018,15.9
02/05/2018,15.97
01/05/2018,15.49
30/04/2018,15.93
27/04/2018,15.41
26/04/2018,16.24
25/04/2018,17.84
24/04/2018,18.02
23/04/2018,16.34
20/04/2018,16.88
19/04/2018,15.96
18/04/2018,15.6
17/04/2018,15.25
16/04/2018,16.56
13/04/2018,17.41
12/04/2018,18.49
11/04/2018,20.24
10/04/2018,20.47
09/04/2018,21.77
06/04/2018,21.49
05/04/2018,18.94
04/04/2018,20.06
03/04/2018,21.1
02/04/2018,23.62
29/03/2018,19.97
28/03/2018,22.87
27/03/2018,22.5
26/03/2018,21.03
23/03/2018,24.87
22/03/2018,23.34
21/03/2018,17.86
20/03/2018,18.2
19/03/2018,19.02
16/03/2018,15.8
15/03/2018,16.59
14/03/2018,17.23
13/03/2018,16.35
12/03/2018,15.78
09/03/2018,14.64
08/03/2018,16.54
07/03/2018,17.76
06/03/2018,18.36
05/03/2018,18.73
02/03/2018,19.59
01/03/2018,22.47
28/02/2018,19.85
27/02/2018,18.59
26/02/2018,15.8
23/02/2018,16.49
22/02/2018,18.72
21/02/2018,20.02
20/02/2018,20.6
16/02/2018,19.46
15/02/2018,19.13
14/02/2018,19.26
13/02/2018,24.97
12/02/2018,25.61
09/02/2018,29.06
08/02/2018,33.46
07/02/2018,27.73
06/02/2018,29.98
05/02/2018,37.32
02/02/2018,17.31
01/02/2018,13.47
31/01/2018,13.54
30/01/2018,14.79
29/01/2018,13.84
26/01/2018,11.08
25/01/2018,11.58
24/01/2018,11.47
23/01/2018,11.1
22/01/2018,11.03
19/01/2018,11.27
18/01/2018,12.22
17/01/2018,11.91
16/01/2018,11.66
12/01/2018,10.16
11/01/2018,9.88
10/01/2018,9.82
09/01/2018,10.08
08/01/2018,9.52
05/01/2018,9.22
04/01/2018,9.22
03/01/2018,9.15
02/01/2018,9.77
29/12/2017,11.04
28/12/2017,10.18
27/12/2017,10.47
26/12/2017,10.25
22/12/2017,9.9
21/12/2017,9.62
20/12/2017,9.72
19/12/2017,10.03
18/12/2017,9.53
15/12/2017,9.42
14/12/2017,10.49
13/12/2017,10.18
12/12/2017,9.92
11/12/2017,9.34
08/12/2017,9.58
07/12/2017,10.16
06/12/2017,11.02
05/12/2017,11.33
04/12/2017,11.68
01/12/2017,11.43
30/11/2017,11.28
29/11/2017,10.7
28/11/2017,10.03
27/11/2017,9.87
24/11/2017,9.67
22/11/2017,9.88
21/11/2017,9.73
20/11/2017,10.65
17/11/2017,11.43
16/11/2017,11.76
15/11/2017,13.13
14/11/2017,11.59
13/11/2017,11.5
10/11/2017,11.29
09/11/2017,10.5
08/11/2017,9.78
07/11/2017,9.89
06/11/2017,9.4
03/11/2017,9.14
02/11/2017,9.93
01/11/2017,10.2
31/10/2017,10.18
30/10/2017,10.5
27/10/2017,9.8
26/10/2017,11.3
25/10/2017,11.23
24/10/2017,11.16
23/10/2017,11.07
20/10/2017,9.97
19/10/2017,10.05
18/10/2017,10.07
17/10/2017,10.31
16/10/2017,9.91
13/10/2017,9.61
12/10/2017,9.91
11/10/2017,9.85
10/10/2017,10.08
09/10/2017,10.33
06/10/2017,9.65
05/10/2017,9.19
04/10/2017,9.63
03/10/2017,9.51
02/10/2017,9.45
29/09/2017,9.51
28/09/2017,9.55
27/09/2017,9.87
26/09/2017,10.17
25/09/2017,10.21
22/09/2017,9.59
21/09/2017,9.67
20/09/2017,9.78
19/09/2017,10.18
18/09/2017,10.15
15/09/2017,10.17
14/09/2017,10.44
13/09/2017,10.5
12/09/2017,10.58
11/09/2017,10.73
08/09/2017,12.12
07/09/2017,11.55
06/09/2017,11.63
05/09/2017,12.23
01/09/2017,10.13
31/08/2017,10.59
30/08/2017,11.22
29/08/2017,11.7
28/08/2017,11.32
25/08/2017,11.28
24/08/2017,12.23
23/08/2017,12.25
22/08/2017,11.35
21/08/2017,13.19
18/08/2017,14.26
17/08/2017,15.55
16/08/2017,11.74
15/08/2017,12.04
14/08/2017,12.33
11/08/2017,15.51
10/08/2017,16.04
09/08/2017,11.11
08/08/2017,10.96
07/08/2017,9.93
04/08/2017,10.03
03/08/2017,10.44
02/08/2017,10.28
01/08/2017,10.09
31/07/2017,10.26
28/07/2017,10.29
27/07/2017,10.11
26/07/2017,9.6
25/07/2017,9.43
24/07/2017,9.43
21/07/2017,9.36
20/07/2017,9.58
19/07/2017,9.79
18/07/2017,9.89
17/07/2017,9.82
14/07/2017,9.51
13/07/2017,9.9
12/07/2017,10.3
11/07/2017,10.89
10/07/2017,11.11
07/07/2017,11.19
06/07/2017,12.54
05/07/2017,11.07
03/07/2017,11.22
30/06/2017,11.18
29/06/2017,11.44
28/06/2017,10.03
27/06/2017,11.06
26/06/2017,9.9
23/06/2017,10.02
22/06/2017,10.48
21/06/2017,10.75
20/06/2017,10.86
19/06/2017,10.37
16/06/2017,10.38
15/06/2017,10.9
14/06/2017,10.64
13/06/2017,10.42
12/06/2017,11.46
09/06/2017,10.7
08/06/2017,10.16
07/06/2017,10.39
06/06/2017,10.45
05/06/2017,10.07
02/06/2017,9.75
01/06/2017,9.89
31/05/2017,10.41
30/05/2017,10.38
26/05/2017,9.81
25/05/2017,9.99
24/05/2017,10.02
23/05/2017,10.72
22/05/2017,10.93
19/05/2017,12.04
18/05/2017,14.66
17/05/2017,15.59
16/05/2017,10.65
15/05/2017,10.42
12/05/2017,10.4
11/05/2017,10.6
10/05/2017,10.21
09/05/2017,9.96
08/05/2017,9.77
05/05/2017,10.57
04/05/2017,10.46
03/05/2017,10.68
02/05/2017,10.59
01/05/2017,10.11
28/04/2017,10.82
27/04/2017,10.36
26/04/2017,10.85
25/04/2017,10.76
24/04/2017,10.84
21/04/2017,14.63
20/04/2017,14.15
19/04/2017,14.93
18/04/2017,14.42
17/04/2017,14.66
13/04/2017,15.96
12/04/2017,15.77
11/04/2017,15.07
10/04/2017,14.05
07/04/2017,12.87
06/04/2017,12.39
05/04/2017,12.89
04/04/2017,11.79
